ticket_id,customer_id,created_at,subject,body_text,category
TCKT00001,CUST004284,2025-01-01 01:16:22,"Account under review, need status update",I submitted my ID for verification 4 days ago and heard nothing back. I can't withdraw or transfer any funds right now. Please tell me what documents you still need from me. My account has been frozen and nobody has explained why.,account_access
TCKT00002,CUST000073,2025-01-01 05:27:37,Monthly fee increased without notice,Your fee schedule isn't clearly disclosed anywhere in the app. This overdraft fee seems unfair given my account history. This is the third fee I've been charged this year that surprised me. I want this fee reversed or a clear explanation of why it was charged.,fee_complaint
TCKT00003,CUST004655,2025-01-01 11:13:14,Need details on a recent statement,Can you explain the difference between the Basic and Premium account tiers? Where can I download a statement from last 5 days?,general_inquiry
TCKT00004,CUST003192,2025-01-01 13:37:36,Can't log into my account,Can someone manually reset my login so I can access my account? This has been happening for 7 days now and it's frustrating. It says my credentials are invalid even though I just reset them.,login_issue
TCKT00005,CUST004624,2025-01-01 14:56:21,Been on hold for over an hour,"I've called twice and been on hold for over 40 minutes each time. I opened this ticket 9 days ago and still have no response. Please escalate this, I've already followed up twice. Your chat support disconnected me before resolving my issue.",slow_support
TCKT00006,CUST000969,2025-01-01 19:06:14,App keeps logging me out,This has been happening for 2 days now and it's frustrating. I've reset my password three times and still can't log in. It says my credentials are invalid even though I just reset them. I never receive the verification code by text or email.,login_issue
TCKT00007,CUST003761,2025-01-01 20:32:45,"Account under review, need status update",I can't withdraw or transfer any funds right now. My account has been frozen and nobody has explained why. I submitted my ID for verification 13 days ago and heard nothing back. Please tell me what documents you still need from me.,account_access
TCKT00008,CUST004460,2025-01-01 22:16:02,"Account under review, need status update",I can't withdraw or transfer any funds right now. My account has been frozen and nobody has explained why. Please tell me what documents you still need from me.,account_access
TCKT00009,CUST004579,2025-01-01 22:56:49,Excellent service this week,Just wanted to recognize your team for great service this week. The app redesign is clean and much easier to navigate. Switching to this bank was one of the best financial decisions I've made.,positive_feedback
TCKT00010,CUST002414,2025-01-01 23:58:25,Been on hold for over an hour,"Please escalate this, I've already followed up twice. Your chat support disconnected me before resolving my issue. I just want an update, even if the answer is 'still working on it'. I opened this ticket 3 days ago and still have no response.",slow_support
TCKT00011,CUST000288,2025-01-02 00:46:06,Report possible fraud on my account,"My card must have been compromised, please freeze my account immediately. There's a charge of $432.96 at Holloway, Costa and Williams that I never made.",fraud_report
TCKT00012,CUST002666,2025-01-02 02:58:23,Locked out of online banking,Can someone manually reset my login so I can access my account? This has been happening for 2 days now and it's frustrating. I never receive the verification code by text or email. The mobile app crashes every time I try to sign in.,login_issue
TCKT00013,CUST002969,2025-01-02 10:49:43,Monthly fee increased without notice,This overdraft fee seems unfair given my account history. Nobody told me the monthly maintenance fee was going up. I was charged a $398.43 fee I don't understand.,fee_complaint
TCKT00014,CUST001248,2025-01-02 19:52:37,Someone used my account without permission,"This looks like classic card-testing fraud, several tiny charges in a row. I noticed several small unauthorized charges over the past 9 days.",fraud_report
TCKT00015,CUST000217,2025-01-03 02:29:51,"Account under review, need status update",My account has been frozen and nobody has explained why. This review process is taking way too long for a routine check. I rely on this account for daily expenses and need access restored.,account_access
TCKT00016,CUST000266,2025-01-03 05:39:49,Transaction failed but money was taken,My card was declined even though I have sufficient balance. Please refund the pending hold from the failed charge. The payment failed but the funds still show as pending on my account. This is the second time a utilities purchase has failed this month.,failed_transaction
