customer_id,signup_date,region,account_type,risk_segment
CUST000001,2024-04-20,West,Basic,Medium
CUST000002,2023-03-10,Midwest,Premium,Medium
CUST000003,2019-06-14,West,Premium,Low
CUST000004,2026-06-27,South,Basic,Low
CUST000005,2024-12-13,Northeast,Basic,Low
CUST000006,2018-04-15,International,Basic,Low
CUST000007,2018-03-07,West,Premium,Low
CUST000008,2025-05-14,West,Premium,High
CUST000009,2023-07-24,Northeast,Premium,Low
CUST000010,2022-03-09,Midwest,Basic,Low
CUST000011,2021-08-03,Midwest,Basic,Medium
CUST000012,2020-11-27,West,Basic,Low
CUST000013,2025-09-19,South,Basic,Low
CUST000014,2025-12-14,West,Premium,Low
CUST000015,2018-06-13,Midwest,Basic,High
CUST000016,2025-11-16,Northeast,Basic,Low
CUST000017,2019-07-19,South,Basic,Low
CUST000018,2026-03-06,Northeast,Basic,Medium
CUST000019,2019-05-15,West,Premium,Low
CUST000020,2018-07-01,South,Basic,Medium
CUST000021,2025-08-25,West,Business,Low
CUST000022,2025-08-29,Midwest,Premium,Low
CUST000023,2025-10-10,International,Business,Low
CUST000024,2024-01-09,West,Premium,High
CUST000025,2026-01-17,West,Premium,Low
CUST000026,2025-07-17,Northeast,Premium,Low
CUST000027,2023-02-01,Midwest,Basic,High
CUST000028,2021-07-12,Northeast,Basic,Low
CUST000029,2019-07-27,Northeast,Premium,Medium
CUST000030,2018-02-25,South,Basic,Low
CUST000031,2025-01-03,West,Basic,Medium
CUST000032,2019-07-28,International,Premium,Medium
CUST000033,2023-09-26,Midwest,Basic,Medium
CUST000034,2021-03-31,Midwest,Basic,Low
CUST000035,2025-09-04,Midwest,Premium,High
CUST000036,2020-10-17,Northeast,Basic,High
CUST000037,2025-05-20,Northeast,Business,Medium
CUST000038,2023-01-02,Midwest,Basic,Low
CUST000039,2018-02-02,Northeast,Business,Low
CUST000040,2025-11-30,South,Premium,Low
CUST000041,2024-07-23,Midwest,Basic,Low
CUST000042,2026-04-25,West,Basic,Low
CUST000043,2020-08-02,South,Basic,Low
CUST000044,2023-12-26,Midwest,Basic,Low
CUST000045,2019-08-31,West,Basic,Low
CUST000046,2025-05-12,West,Business,Low
CUST000047,2020-05-28,Midwest,Basic,Low
CUST000048,2018-02-15,Midwest,Premium,Low
CUST000049,2019-11-11,South,Basic,High
CUST000050,2026-04-11,Northeast,Business,Medium
CUST000051,2026-02-20,Northeast,Basic,Low
CUST000052,2025-06-29,Northeast,Basic,Low
CUST000053,2020-03-09,West,Premium,Medium
CUST000054,2020-06-06,South,Basic,Low
CUST000055,2025-03-06,South,Premium,Medium
CUST000056,2025-03-28,West,Basic,Low
CUST000057,2026-06-26,Midwest,Basic,Low
CUST000058,2026-01-13,South,Basic,Low
CUST000059,2026-01-05,Northeast,Premium,Medium
CUST000060,2019-12-18,Northeast,Basic,High
CUST000061,2023-12-29,South,Basic,Medium
